IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 15192,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 67 B9 7F F7 1B 00 00 ,TS: 15212,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 11 2D 66 ,TS: 15292,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 15382,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 15456,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 00 08 9C 91 77 ,TS: 15532,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 77 00 00 00 00 00 ,TS: 15612,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 5C 00 24 02 ,TS: 15692,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 15754,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 86 1D 3D 62 5A 27 A2 ,TS: 15772,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 43 00 30 83 30 ,TS: 15852,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 15941,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7C 81 AB 1B 00 ,TS: 16012,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C DC 13 13 10 76 00 ,TS: 16092,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 16172,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 4B 00 69 C9 5B ,TS: 16252,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 16332,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 1D 1F 80 35 00 00 ,TS: 16412,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0A 16 08 81 80 00 00 ,TS: 16492,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 64 80 00 FF 00 1D ,TS: 16572,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 16652,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 7E 61 ,TS: 16719,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 16788,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 68 59 7F FA 1B 00 00 ,TS: 16796,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 10 2D 66 ,TS: 16889,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 0A 00 ,TS: 16979,BAUD: 1
